Player,Total Points,Games Played,Team
Shai Gilgeous-Alexander,0,0,Jono
Jamal Murray,30,1,Jono
Jalen Duren,0,0,Jono
OG Anunoby,0,0,Jono
Mikal Bridges,0,0,Jono
Isaiah Hartenstein,0,0,Jono
Luka Dončić,0,0,Jono
LaMelo Ball,0,0,Jono
Victor Wembanyama,0,0,Julian
Cade Cunningham,0,0,Julian
Anthony Edwards,22,1,Julian
Kevin Durant,0,0,Julian
Amen Thompson,0,0,Julian
LeBron James,0,0,Julian
Deni Avdija,0,0,Julian
Devin Booker,0,0,Julian
Jaylen Brown,0,0,Sam
Donovan Mitchell,32,1,Sam
De'Aaron Fox,0,0,Sam
Evan Mobley,17,1,Sam
Keldon Johnson,0,0,Sam
Dylan Harper,0,0,Sam
Jarrett Allen,10,1,Sam
Nickeil Alexander-Walker,0,0,Sam
Nikola Jokić,25,1,Andrew
Karl-Anthony Towns,0,0,Andrew
Payton Pritchard,0,0,Andrew
Aaron Gordon,17,1,Andrew
Tobias Harris,0,0,Andrew
Jabari Smith,0,0,Andrew
Josh Hart,0,0,Andrew
Stephen Curry,0,0,Andrew
Jalen Brunson,0,0,Joe
Jalen Williams,0,0,Joe
James Harden,22,1,Joe
Alperen Sengun,0,0,Joe
Ausar Thompson,0,0,Joe
Julius Randle,16,1,Joe
Tyrese Maxey,0,0,Joe
Duncan Robinson,0,0,Joe
Jayson Tatum,0,0,Connor
Chet Holmgren,0,0,Connor
Derrick White,0,0,Connor
Stephon Castle,0,0,Connor
Jalen Johnson,0,0,Connor
Ajay Mitchell,0,0,Connor
Devin Vassell,0,0,Connor
Neemias Queta,0,0,Connor
